name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Eremothecium	33170	G	26	0.00001	21	0.00000	8	0.00000	23	0.00000	0	0.00000
Saccharomyces	4930	G	20	0.00001	6	0.00000	21	0.00001	13	0.00000	0	0.00000
Kluyveromyces	4910	G	9	0.00000	19	0.00000	13	0.00000	33	0.00001	0	0.00000
Kazachstania	71245	G	5	0.00000	0	0.00000	5	0.00000	2	0.00000	0	0.00000
Torulaspora	4948	G	2	0.00000	14	0.00000	4	0.00000	13	0.00000	0	0.00000
Nakaseomyces	374468	G	1	0.00000	5	0.00000	4	0.00000	11	0.00000	0	0.00000
Debaryomyces	4958	G	126	0.00005	2	0.00000	1	0.00000	3	0.00000	0	0.00000
Candida	1535326	G	35	0.00001	41	0.00001	26	0.00001	49	0.00001	0	0.00000
Scheffersomyces	766733	G	1	0.00000	7	0.00000	8	0.00000	18	0.00000	0	0.00000
Sugiyamaella	410829	G	10	0.00000	3	0.00000	7	0.00000	1	0.00000	0	0.00000
Ogataea	461281	G	6	0.00000	4	0.00000	1	0.00000	12	0.00000	0	0.00000
Pichia	4919	G	1	0.00000	0	0.00000	3	0.00000	0	0.00000	9	0.00000
Yarrowia	4951	G	2	0.00000	4	0.00000	8	0.00000	5	0.00000	0	0.00000
Pyricularia	48558	G	115	0.00004	85	0.00002	35	0.00001	96	0.00002	0	0.00000
Neurospora	5140	G	31	0.00001	6	0.00000	9	0.00000	23	0.00000	0	0.00000
Thermothielavioides	2609811	G	9	0.00000	13	0.00000	13	0.00000	33	0.00001	2	0.00000
Thermothelomyces	1920207	G	1	0.00000	24	0.00000	8	0.00000	14	0.00000	3	0.00000
Fusarium	5506	G	102	0.00004	148	0.00003	97	0.00003	213	0.00004	1	0.00000
Pochonia	243023	G	7	0.00000	1	0.00000	11	0.00000	30	0.00001	0	0.00000
Colletotrichum	5455	G	5	0.00000	27	0.00001	17	0.00000	48	0.00001	0	0.00000
Botrytis	33196	G	37	0.00001	63	0.00001	22	0.00001	87	0.00002	0	0.00000
Aspergillus	5052	G	4	0.00000	49	0.00001	22	0.00001	55	0.00001	0	0.00000
Talaromyces	5094	G	3	0.00000	43	0.00001	39	0.00001	48	0.00001	0	0.00000
